date,prediction,real_price
2021/11/07,61319.04296875,63327.0
2021/11/08,61004.44140625,67566.8
2021/11/09,63226.484375,66971.8
2021/11/10,62970.17578125,64995.2
2021/11/11,61452.23828125,64950.0
2021/11/12,61125.7421875,64155.9
2021/11/13,61527.55078125,64469.5
2021/11/14,63327.06640625,65466.8
2021/11/15,67566.9140625,63557.9
2021/11/16,66971.90625,60161.2
2021/11/17,64995.2734375,60368.0
2021/11/18,64950.0703125,56942.1
2021/11/19,64155.9609375,58119.6
2021/11/20,64469.5625,59697.2
2021/11/21,65466.875,58730.5
2021/11/22,63557.95703125,56289.3
2021/11/23,60161.21484375,57569.1
2021/11/24,60368.015625,56280.4
2021/11/25,56942.08203125,57274.7
2021/11/26,58119.60546875,53569.8
2021/11/27,59697.22265625,54815.1
2021/11/28,58730.515625,57248.5
2021/11/29,56289.29296875,57806.6
2021/11/30,57569.10546875,57005.4
2021/12/01,56280.39453125,57229.8
2021/12/02,57274.703125,56477.8
2021/12/03,53569.7890625,53598.2
2021/12/04,54815.10546875,49200.7
2021/12/05,57248.53515625,49368.9
2021/12/06,57806.63671875,50582.6
2021/12/07,57005.4375,50700.1
2021/12/08,57229.83984375,50504.8
2021/12/09,56477.8359375,47672.1
2021/12/10,53598.19140625,47243.3
2021/12/11,49200.64453125,49362.5
2021/12/12,49368.83984375,50098.3
2021/12/13,50582.5546875,46737.5
2021/12/14,50700.0546875,46612.6
2021/12/15,50504.75,48896.7
2021/12/16,47672.01953125,47665.4
2021/12/17,47243.203125,46202.1
2021/12/18,49362.4375,46848.8
2021/12/19,50098.2421875,46707.0
2021/12/20,46737.40625,46880.3
2021/12/21,46612.51171875,48936.6
2021/12/22,48896.63671875,48628.5
2021/12/23,47665.30859375,50784.5
2021/12/24,46201.9921875,50822.2
2021/12/25,46848.69921875,50429.9
2021/12/26,46706.8984375,50809.5
2021/12/27,46880.2109375,50640.4
2021/12/28,48936.52734375,47588.9
2021/12/29,48628.4140625,46444.7
2021/12/30,50784.4375,47178.1
2021/12/31,50822.1328125,46306.4
2022/01/01,50429.83203125,47686.8
2022/01/02,50809.43359375,47345.2
2022/01/03,50640.328125,46458.1
2022/01/04,47588.7890625,45897.6
2022/01/05,46444.578125,43569.0
2022/01/06,47177.98828125,43160.9
2022/01/07,46306.27734375,41557.9
2022/01/08,47686.6875,41733.9
2022/01/09,47345.0859375,41911.6
2022/01/10,46457.98046875,41821.3
2022/01/11,45897.46484375,42735.9
2022/01/12,43568.8359375,43949.1
2022/01/13,43160.734375,42591.6
2022/01/14,41557.71875,43099.7
2022/01/15,41733.71875,43177.4
2022/01/16,41911.421875,43113.9
2022/01/17,41821.12109375,42250.6
2022/01/18,42735.71875,42375.6
2022/01/19,43948.9296875,41744.3
2022/01/20,42591.41796875,40680.4
2022/01/21,43099.515625,36457.3
2022/01/22,43177.21484375,35030.2
2022/01/23,43113.71484375,36276.8
2022/01/24,42250.40625,36654.3
2022/01/25,42375.4140625,36954.0
2022/01/26,41744.0859375,36852.1
2022/01/27,40680.17578125,37138.2
2022/01/28,36457.03125,37784.3
2022/01/29,35029.91015625,38138.2
2022/01/30,36276.52734375,37917.6
2022/01/31,36654.03125,38483.1
2022/02/01,36953.7265625,38743.3
2022/02/02,36851.828125,36953.0
2022/02/03,37137.9453125,37154.6
2022/02/04,37784.05859375,41500.9
2022/02/05,38137.95703125,41441.2
2022/02/06,37917.35546875,42412.4
2022/02/07,38482.859375,43840.3
2022/02/08,38743.0546875,44118.4
2022/02/09,36952.7421875,44338.8
2022/02/10,37154.33984375,43565.1
2022/02/11,41500.6796875,42407.9
2022/02/12,41440.9765625,42244.5
2022/02/13,42412.1875,42197.5
2022/02/14,43840.11328125,42586.9
2022/02/15,44118.20703125,44575.2
2022/02/16,44338.609375,43961.9
2022/02/17,43564.90625,40538.0
2022/02/18,42407.67578125,40031.0
2022/02/19,42244.28125,40122.2
2022/02/20,42197.27734375,38431.4
2022/02/21,42586.66796875,37075.3
2022/02/22,44575.0,38286.0
2022/02/23,43961.6875,37296.6
2022/02/24,40537.7421875,38332.6
2022/02/25,40030.73828125,39214.2
2022/02/26,40121.9375,39105.1
2022/02/27,38431.11328125,37709.8
2022/02/28,37075.00390625,43193.2
2022/03/01,38285.69921875,44354.6
2022/03/02,37296.2890625,43924.1
2022/03/03,38332.2890625,42451.8
2022/03/04,39213.9140625,39137.6
2022/03/05,39104.81640625,39400.6
2022/03/06,37709.5,38420.0
2022/03/07,43192.94921875,38062.0
2022/03/08,44354.35546875,38737.3
2022/03/09,43923.8203125,41982.9
2022/03/10,42451.51171875,39437.5
2022/03/11,39137.23828125,38795.0
2022/03/12,39400.2421875,38904.0
2022/03/13,38419.625,37849.7
2022/03/14,38061.6015625,39666.8
2022/03/15,38736.87890625,39338.8
2022/03/16,41982.58203125,41143.9
2022/03/17,39437.15234375,40951.4
2022/03/18,38794.640625,41801.2
2022/03/19,38903.64453125,42190.6
2022/03/20,37849.35546875,41247.8
